date,province,case_cumulative,death_cumulative
2020-04-03,Sumatera Utara,22,3
2020-04-03,Sulawesi Tenggara,6,0
2020-04-03,Sulawesi Selatan,82,5
2020-04-03,Sulawesi Tengah,4,0
2020-04-03,Lampung,12,1
2020-04-03,Riau,10,0
2020-04-03,Maluku Utara,1,0
2020-04-03,Maluku,1,0
2020-04-03,Papua Barat,2,1
2020-04-03,Papua,16,0
2020-04-03,Sulawesi Barat,1,0
2020-04-03,Nusa Tenggara Timur,0,0
2020-04-03,Gorontalo,0,0
2020-04-03,Lain,31,0
2020-04-04,Aceh,5,1
2020-04-04,Bali,32,2
2020-04-04,Banten,173,17
2020-04-04,Kepulauan Bangka Belitung,2,1
2020-04-04,Bengkulu,2,1
2020-04-04,Daerah Istimewa Yogyakarta,33,3
2020-04-04,DKI Jakarta,1028,89
2020-04-04,Jambi,2,0
2020-04-04,Jawa Barat,247,28
2020-04-04,Jawa Tengah,120,18
2020-04-04,Jawa Timur,152,14
2020-04-04,Kalimantan Barat,10,2
2020-04-04,Kalimantan Timur,24,1
2020-04-04,Kalimantan Tengah,11,0
2020-04-04,Kalimantan Selatan,8,0
2020-04-04,Kalimantan Utara,8,0
2020-04-04,Kepulauan Riau,8,1
2020-04-04,Nusa Tenggara Barat,7,0
2020-04-04,Sumatera Selatan,12,2
2020-04-04,Sumatera Barat,8,0
2020-04-04,Sulawesi Utara,3,0
2020-04-04,Sumatera Utara,25,3
2020-04-04,Sulawesi Tenggara,5,0
2020-04-04,Sulawesi Selatan,82,5
2020-04-04,Sulawesi Tengah,4,0
2020-04-04,Lampung,11,1
2020-04-04,Riau,10,0
2020-04-04,Maluku Utara,1,0
2020-04-04,Maluku,1,0
2020-04-04,Papua Barat,2,1
2020-04-04,Papua,18,1
2020-04-04,Sulawesi Barat,1,0
2020-04-04,Nusa Tenggara Timur,0,0
2020-04-04,Gorontalo,0,0
2020-04-04,Lain,37,0
2020-04-05,Aceh,5,1
2020-04-05,Bali,35,2
2020-04-05,Banten,177,17
2020-04-05,Kepulauan Bangka Belitung,2,1
2020-04-05,Bengkulu,2,1
2020-04-05,Daerah Istimewa Yogyakarta,34,3
2020-04-05,DKI Jakarta,1124,95
2020-04-05,Jambi,2,0
2020-04-05,Jawa Barat,252,28
2020-04-05,Jawa Tengah,120,18
2020-04-05,Jawa Timur,188,14
2020-04-05,Kalimantan Barat,10,2
2020-04-05,Kalimantan Timur,30,1
2020-04-05,Kalimantan Tengah,11,0
2020-04-05,Kalimantan Selatan,16,0
2020-04-05,Kalimantan Utara,8,0
2020-04-05,Kepulauan Riau,9,1
2020-04-05,Nusa Tenggara Barat,7,0
2020-04-05,Sumatera Selatan,16,2
2020-04-05,Sumatera Barat,8,0
2020-04-05,Sulawesi Utara,3,0
2020-04-05,Sumatera Utara,25,4
2020-04-05,Sulawesi Tenggara,6,0
2020-04-05,Sulawesi Selatan,83,5
2020-04-05,Sulawesi Tengah,4,0
2020-04-05,Lampung,11,1
2020-04-05,Riau,11,0
2020-04-05,Maluku Utara,1,0
2020-04-05,Maluku,1,0
2020-04-05,Papua Barat,2,1
2020-04-05,Papua,26,1
2020-04-05,Sulawesi Barat,2,0
2020-04-05,Nusa Tenggara Timur,0,0
2020-04-05,Gorontalo,0,0
2020-04-05,Lain,42,0
2020-04-06,Aceh,5,1
2020-04-06,Bali,43,2
2020-04-06,Banten,187,17
2020-04-06,Kepulauan Bangka Belitung,2,1
2020-04-06,Bengkulu,2,1
2020-04-06,Daerah Istimewa Yogyakarta,40,3
2020-04-06,DKI Jakarta,1232,99
2020-04-06,Jambi,2,0
2020-04-06,Jawa Barat,263,29
2020-04-06,Jawa Tengah,132,22
2020-04-06,Jawa Timur,189,14
2020-04-06,Kalimantan Barat,12,2
2020-04-06,Kalimantan Timur,31,1
2020-04-06,Kalimantan Tengah,20,0
2020-04-06,Kalimantan Selatan,18,0
2020-04-06,Kalimantan Utara,15,0
2020-04-06,Kepulauan Riau,9,1
2020-04-06,Nusa Tenggara Barat,10,0
2020-04-06,Sumatera Selatan,16,2
2020-04-06,Sumatera Barat,18,0
2020-04-06,Sulawesi Utara,5,0
2020-04-06,Sumatera Utara,26,4
2020-04-06,Sulawesi Tenggara,7,0
2020-04-06,Sulawesi Selatan,113,6
2020-04-06,Sulawesi Tengah,4,0
2020-04-06,Lampung,12,1
2020-04-06,Riau,12,0
2020-04-06,Maluku Utara,1,0
2020-04-06,Maluku,1,0
2020-04-06,Papua Barat,2,1
2020-04-06,Papua,26,2
2020-04-06,Sulawesi Barat,2,0
2020-04-06,Nusa Tenggara Timur,0,0
2020-04-06,Gorontalo,0,0
2020-04-06,Lain,34,0
2020-04-07,Aceh,5,1
2020-04-07,Bali,43,2
2020-04-07,Banten,194,18
2020-04-07,Kepulauan Bangka Belitung,2,1
2020-04-07,Bengkulu,2,1
2020-04-07,Daerah Istimewa Yogyakarta,41,3
2020-04-07,DKI Jakarta,1369,106
2020-04-07,Jambi,2,0
2020-04-07,Jawa Barat,343,29
2020-04-07,Jawa Tengah,133,22
2020-04-07,Jawa Timur,194,16
2020-04-07,Kalimantan Barat,10,2
2020-04-07,Kalimantan Timur,31,1
2020-04-07,Kalimantan Tengah,20,0
2020-04-07,Kalimantan Selatan,18,0
2020-04-07,Kalimantan Utara,15,0
2020-04-07,Kepulauan Riau,9,1
2020-04-07,Nusa Tenggara Barat,10,0
2020-04-07,Sumatera Selatan,16,2
2020-04-07,Sumatera Barat,18,0
2020-04-07,Sulawesi Utara,8,0
2020-04-07,Sumatera Utara,26,4
2020-04-07,Sulawesi Tenggara,7,0
2020-04-07,Sulawesi Selatan,127,6
2020-04-07,Sulawesi Tengah,5,2
2020-04-07,Lampung,12,1
2020-04-07,Riau,12,0
2020-04-07,Maluku Utara,1,0
2020-04-07,Maluku,1,0
2020-04-07,Papua Barat,2,1
2020-04-07,Papua,26,2
2020-04-07,Sulawesi Barat,2,0
2020-04-07,Nusa Tenggara Timur,0,0
2020-04-07,Gorontalo,0,0
2020-04-07,Lain,34,0
2020-04-08,Aceh,6,1
2020-04-08,Bali,49,2
2020-04-08,Banten,212,18
2020-04-08,Kepulauan Bangka Belitung,2,1
2020-04-08,Bengkulu,2,1
2020-04-08,Daerah Istimewa Yogyakarta,41,7
2020-04-08,DKI Jakarta,1470,114
2020-04-08,Jambi,2,0
2020-04-08,Jawa Barat,365,35
2020-04-08,Jawa Tengah,140,22
2020-04-08,Jawa Timur,196,16
2020-04-08,Kalimantan Barat,10,2
2020-04-08,Kalimantan Timur,32,1
2020-04-08,Kalimantan Tengah,20,0
2020-04-08,Kalimantan Selatan,22,0
2020-04-08,Kalimantan Utara,16,0
2020-04-08,Kepulauan Riau,9,1
2020-04-08,Nusa Tenggara Barat,10,0
2020-04-08,Sumatera Selatan,16,2
2020-04-08,Sumatera Barat,18,0
2020-04-08,Sulawesi Utara,8,1
2020-04-08,Sumatera Utara,59,4
2020-04-08,Sulawesi Tenggara,11,0
2020-04-08,Sulawesi Selatan,127,6
2020-04-08,Sulawesi Tengah,5,2
2020-04-08,Lampung,15,1
2020-04-08,Riau,12,0
2020-04-08,Maluku Utara,2,0
2020-04-08,Maluku,3,0
2020-04-08,Papua Barat,2,1
2020-04-08,Papua,38,2
2020-04-08,Sulawesi Barat,2,0
2020-04-08,Nusa Tenggara Timur,0,0
2020-04-08,Gorontalo,0,0
2020-04-08,Lain,34,0
2020-04-09,Aceh,6,1
2020-04-09,Bali,63,2
2020-04-09,Banten,218,20
2020-04-09,Kepulauan Bangka Belitung,3,1
2020-04-09,Bengkulu,4,1
2020-04-09,Daerah Istimewa Yogyakarta,41,7
2020-04-09,DKI Jakarta,1706,142
2020-04-09,Jambi,2,0
2020-04-09,Jawa Barat,376,40
2020-04-09,Jawa Tengah,144,22
2020-04-09,Jawa Timur,223,17
2020-04-09,Kalimantan Barat,10,2
2020-04-09,Kalimantan Timur,32,1
2020-04-09,Kalimantan Tengah,20,0
2020-04-09,Kalimantan Selatan,22,2
2020-04-09,Kalimantan Utara,16,0
2020-04-09,Kepulauan Riau,22,1
2020-04-09,Nusa Tenggara Barat,16,0
2020-04-09,Sumatera Selatan,17,2
2020-04-09,Sumatera Barat,18,0
2020-04-09,Sulawesi Utara,8,1
2020-04-09,Sumatera Utara,59,4
2020-04-09,Sulawesi Tenggara,15,0
2020-04-09,Sulawesi Selatan,138,8
2020-04-09,Sulawesi Tengah,5,2
2020-04-09,Lampung,15,1
2020-04-09,Riau,12,0
2020-04-09,Maluku Utara,2,0
2020-04-09,Maluku,3,0
2020-04-09,Papua Barat,2,1
2020-04-09,Papua,38,2
2020-04-09,Sulawesi Barat,2,0
2020-04-09,Nusa Tenggara Timur,1,0
2020-04-09,Gorontalo,0,0
2020-04-09,Lain,34,0
2020-04-10,Aceh,5,1
2020-04-10,Bali,75,2
2020-04-10,Banten,243,21
2020-04-10,Kepulauan Bangka Belitung,3,1
2020-04-10,Bengkulu,4,1
2020-04-10,Daerah Istimewa Yogyakarta,41,7
2020-04-10,DKI Jakarta,1753,154
2020-04-10,Jambi,2,0
2020-04-10,Jawa Barat,388,40
2020-04-10,Jawa Tengah,144,22
2020-04-10,Jawa Timur,256,22
2020-04-10,Kalimantan Barat,10,2
2020-04-10,Kalimantan Timur,35,1
2020-04-10,Kalimantan Tengah,24,1
2020-04-10,Kalimantan Selatan,29,2
2020-04-10,Kalimantan Utara,16,0
2020-04-10,Kepulauan Riau,21,1
2020-04-10,Nusa Tenggara Barat,25,0
2020-04-10,Sumatera Selatan,21,2
2020-04-10,Sumatera Barat,31,3
2020-04-10,Sulawesi Utara,13,2
2020-04-10,Sumatera Utara,59,4
2020-04-10,Sulawesi Tenggara,15,0
2020-04-10,Sulawesi Selatan,167,11
2020-04-10,Sulawesi Tengah,14,2
2020-04-10,Lampung,20,1
2020-04-10,Riau,13,0
2020-04-10,Maluku Utara,2,0
2020-04-10,Maluku,3,0
2020-04-10,Papua Barat,2,1
2020-04-10,Papua,38,2
2020-04-10,Sulawesi Barat,3,0
2020-04-10,Nusa Tenggara Timur,1,0
2020-04-10,Gorontalo,1,0
2020-04-10,Lain,35,0
2020-04-11,Aceh,5,1
2020-04-11,Bali,79,2
2020-04-11,Banten,279,21
2020-04-11,Kepulauan Bangka Belitung,4,1
2020-04-11,Bengkulu,4,1
2020-04-11,Daerah Istimewa Yogyakarta,41,7
2020-04-11,DKI Jakarta,1948,159
2020-04-11,Jambi,4,0
2020-04-11,Jawa Barat,421,40
2020-04-11,Jawa Tengah,144,22
2020-04-11,Jawa Timur,267,25
2020-04-11,Kalimantan Barat,10,2
2020-04-11,Kalimantan Timur,35,1
2020-04-11,Kalimantan Tengah,24,1
2020-04-11,Kalimantan Selatan,29,2
2020-04-11,Kalimantan Utara,16,1
2020-04-11,Kepulauan Riau,21,1
2020-04-11,Nusa Tenggara Barat,27,2
2020-04-11,Sumatera Selatan,21,2
2020-04-11,Sumatera Barat,31,3
2020-04-11,Sulawesi Utara,13,2
2020-04-11,Sumatera Utara,59,8
2020-04-11,Sulawesi Tenggara,16,1
2020-04-11,Sulawesi Selatan,178,15
2020-04-11,Sulawesi Tengah,19,2
2020-04-11,Lampung,20,1
2020-04-11,Riau,16,0
2020-04-11,Maluku Utara,2,0
2020-04-11,Maluku,3,0
2020-04-11,Papua Barat,2,1
2020-04-11,Papua,62,2
2020-04-11,Sulawesi Barat,5,1
2020-04-11,Nusa Tenggara Timur,1,0
2020-04-11,Gorontalo,1,0
2020-04-11,Lain,35,0
2020-04-12,Aceh,5,1
2020-04-12,Bali,81,2
2020-04-12,Banten,281,21
2020-04-12,Kepulauan Bangka Belitung,4,1
2020-04-12,Bengkulu,4,1
2020-04-12,Daerah Istimewa Yogyakarta,41,7
2020-04-12,DKI Jakarta,2044,195
2020-04-12,Jambi,4,0
2020-04-12,Jawa Barat,450,43
2020-04-12,Jawa Tengah,200,25
2020-04-12,Jawa Timur,386,27
2020-04-12,Kalimantan Barat,13,3
2020-04-12,Kalimantan Timur,35,1
2020-04-12,Kalimantan Tengah,24,1
2020-04-12,Kalimantan Selatan,34,2
2020-04-12,Kalimantan Utara,16,1
2020-04-12,Kepulauan Riau,21,1
2020-04-12,Nusa Tenggara Barat,37,2
2020-04-12,Sumatera Selatan,21,2
2020-04-12,Sumatera Barat,44,3
2020-04-12,Sulawesi Utara,17,2
2020-04-12,Sumatera Utara,65,8
2020-04-12,Sulawesi Tenggara,16,1
2020-04-12,Sulawesi Selatan,222,15
2020-04-12,Sulawesi Tengah,19,2
2020-04-12,Lampung,20,1
2020-04-12,Riau,16,0
2020-04-12,Maluku Utara,2,0
2020-04-12,Maluku,11,0
2020-04-12,Papua Barat,3,1
2020-04-12,Papua,63,3
2020-04-12,Sulawesi Barat,5,1
2020-04-12,Nusa Tenggara Timur,1,0
2020-04-12,Gorontalo,1,0
2020-04-12,Lain,35,0
2020-04-13,Aceh,5,1
2020-04-13,Bali,86,2
2020-04-13,Banten,285,22
2020-04-13,Kepulauan Bangka Belitung,4,1
2020-04-13,Bengkulu,4,1
2020-04-13,Daerah Istimewa Yogyakarta,57,7
2020-04-13,DKI Jakarta,2186,204
2020-04-13,Jambi,4,0
2020-04-13,Jawa Barat,540,52
2020-04-13,Jawa Tengah,203,25
2020-04-13,Jawa Timur,440,30
2020-04-13,Kalimantan Barat,13,3
2020-04-13,Kalimantan Timur,35,1
2020-04-13,Kalimantan Tengah,25,1
2020-04-13,Kalimantan Selatan,34,2
2020-04-13,Kalimantan Utara,16,1
2020-04-13,Kepulauan Riau,21,1
2020-04-13,Nusa Tenggara Barat,37,2
2020-04-13,Sumatera Selatan,18,2
2020-04-13,Sumatera Barat,45,3
2020-04-13,Sulawesi Utara,17,2
2020-04-13,Sumatera Utara,67,9
2020-04-13,Sulawesi Tenggara,16,1
2020-04-13,Sulawesi Selatan,223,15
2020-04-13,Sulawesi Tengah,19,2
2020-04-13,Lampung,21,4
2020-04-13,Riau,20,0
2020-04-13,Maluku Utara,2,0
2020-04-13,Maluku,11,0
2020-04-13,Papua Barat,2,1
2020-04-13,Papua,68,3
2020-04-13,Sulawesi Barat,5,1
2020-04-13,Nusa Tenggara Timur,1,0
2020-04-13,Gorontalo,1,0
2020-04-13,Lain,26,0
2020-04-14,Aceh,5,1
2020-04-14,Bali,92,2
2020-04-14,Banten,280,22
2020-04-14,Kepulauan Bangka Belitung,4,1
2020-04-14,Bengkulu,4,1
2020-04-14,Daerah Istimewa Yogyakarta,62,7
2020-04-14,DKI Jakarta,2335,241
2020-04-14,Jambi,5,0
2020-04-14,Jawa Barat,530,52
2020-04-14,Jawa Tengah,278,26
2020-04-14,Jawa Timur,475,41
2020-04-14,Kalimantan Barat,13,3
2020-04-14,Kalimantan Timur,35,1
2020-04-14,Kalimantan Tengah,25,1
2020-04-14,Kalimantan Selatan,37,5
2020-04-14,Kalimantan Utara,16,1
2020-04-14,Kepulauan Riau,26,5
2020-04-14,Nusa Tenggara Barat,37,2
2020-04-14,Sumatera Selatan,19,2
2020-04-14,Sumatera Barat,48,5
2020-04-14,Sulawesi Utara,17,2
2020-04-14,Sumatera Utara,72,9
2020-04-14,Sulawesi Tenggara,16,1
2020-04-14,Sulawesi Selatan,231,15
2020-04-14,Sulawesi Tengah,19,3
2020-04-14,Lampung,21,5
2020-04-14,Riau,20,0
2020-04-14,Maluku Utara,2,0
2020-04-14,Maluku,11,0
2020-04-14,Papua Barat,2,1
2020-04-14,Papua,68,3
2020-04-14,Sulawesi Barat,5,1
2020-04-14,Nusa Tenggara Timur,1,0
2020-04-14,Gorontalo,1,0
2020-04-14,Lain,27,0
2020-04-15,Aceh,5,1
2020-04-15,Bali,98,2
2020-04-15,Banten,281,25
2020-04-15,Kepulauan Bangka Belitung,5,1
2020-04-15,Bengkulu,4,1
2020-04-15,Daerah Istimewa Yogyakarta,62,7
2020-04-15,DKI Jakarta,2474,242
2020-04-15,Jambi,6,0
2020-04-15,Jawa Barat,559,52
2020-04-15,Jawa Tengah,292,27
2020-04-15,Jawa Timur,499,45
2020-04-15,Kalimantan Barat,13,3
2020-04-15,Kalimantan Timur,35,1
2020-04-15,Kalimantan Tengah,33,2
2020-04-15,Kalimantan Selatan,49,6
2020-04-15,Kalimantan Utara,20,1
2020-04-15,Kepulauan Riau,32,5
2020-04-15,Nusa Tenggara Barat,37,2
2020-04-15,Sumatera Selatan,22,2
2020-04-15,Sumatera Barat,55,4
2020-04-15,Sulawesi Utara,18,2
2020-04-15,Sumatera Utara,78,9
2020-04-15,Sulawesi Tenggara,24,1
2020-04-15,Sulawesi Selatan,242,15
2020-04-15,Sulawesi Tengah,22,3
2020-04-15,Lampung,20,5
2020-04-15,Riau,20,0
2020-04-15,Maluku Utara,4,0
2020-04-15,Maluku,14,0
2020-04-15,Papua Barat,2,1
2020-04-15,Papua,75,3
2020-04-15,Sulawesi Barat,7,1
2020-04-15,Nusa Tenggara Timur,1,0
2020-04-15,Gorontalo,1,0
2020-04-15,Lain,27,0
2020-04-16,Aceh,5,1
2020-04-16,Bali,113,2
2020-04-16,Banten,297,32
2020-04-16,Kepulauan Bangka Belitung,6,1
2020-04-16,Bengkulu,4,1
2020-04-16,Daerah Istimewa Yogyakarta,62,7
2020-04-16,DKI Jakarta,2670,244
2020-04-16,Jambi,7,0
2020-04-16,Jawa Barat,570,53
2020-04-16,Jawa Tengah,300,27
2020-04-16,Jawa Timur,514,46
2020-04-16,Kalimantan Barat,21,3
2020-04-16,Kalimantan Timur,44,1
2020-04-16,Kalimantan Tengah,34,2
2020-04-16,Kalimantan Selatan,59,6
2020-04-16,Kalimantan Utara,28,1
2020-04-16,Kepulauan Riau,38,7
2020-04-16,Nusa Tenggara Barat,45,2
2020-04-16,Sumatera Selatan,37,2
2020-04-16,Sumatera Barat,55,4
2020-04-16,Sulawesi Utara,18,2
2020-04-16,Sumatera Utara,79,9
2020-04-16,Sulawesi Tenggara,26,1
2020-04-16,Sulawesi Selatan,271,23
2020-04-16,Sulawesi Tengah,22,3
2020-04-16,Lampung,25,5
2020-04-16,Riau,24,3
2020-04-16,Maluku Utara,4,0
2020-04-16,Maluku,14,0
2020-04-16,Papua Barat,5,1
2020-04-16,Papua,80,6
2020-04-16,Sulawesi Barat,7,1
2020-04-16,Nusa Tenggara Timur,1,0
2020-04-16,Gorontalo,4,0
2020-04-16,Lain,27,0
2020-04-17,Aceh,5,1
2020-04-17,Bali,124,2
2020-04-17,Banten,311,34
2020-04-17,Kepulauan Bangka Belitung,6,1
2020-04-17,Bengkulu,4,1
2020-04-17,Daerah Istimewa Yogyakarta,64,7
2020-04-17,DKI Jakarta,2815,246
2020-04-17,Jambi,8,0
2020-04-17,Jawa Barat,632,56
2020-04-17,Jawa Tengah,304,41
2020-04-17,Jawa Timur,522,46
2020-04-17,Kalimantan Barat,21,3
2020-04-17,Kalimantan Timur,44,1
2020-04-17,Kalimantan Tengah,35,2
2020-04-17,Kalimantan Selatan,74,6
2020-04-17,Kalimantan Utara,47,1
2020-04-17,Kepulauan Riau,58,7
2020-04-17,Nusa Tenggara Barat,51,2
2020-04-17,Sumatera Selatan,54,2
2020-04-17,Sumatera Barat,62,6
2020-04-17,Sulawesi Utara,18,2
2020-04-17,Sumatera Utara,79,9
2020-04-17,Sulawesi Tenggara,27,1
2020-04-17,Sulawesi Selatan,332,23
2020-04-17,Sulawesi Tengah,24,3
2020-04-17,Lampung,26,5
2020-04-17,Riau,26,4
2020-04-17,Maluku Utara,4,0
2020-04-17,Maluku,14,0
2020-04-17,Papua Barat,5,1
2020-04-17,Papua,89,6
2020-04-17,Sulawesi Barat,7,1
2020-04-17,Nusa Tenggara Timur,1,0
2020-04-17,Gorontalo,4,0
2020-04-17,Lain,26,0
2020-04-18,Aceh,6,1
2020-04-18,Bali,131,3
2020-04-18,Banten,321,34
2020-04-18,Kepulauan Bangka Belitung,6,1
2020-04-18,Bengkulu,4,1
2020-04-18,Daerah Istimewa Yogyakarta,67,7
2020-04-18,DKI Jakarta,2924,253
2020-04-18,Jambi,8,0
2020-04-18,Jawa Barat,641,56
2020-04-18,Jawa Tengah,329,41
2020-04-18,Jawa Timur,555,49
2020-04-18,Kalimantan Barat,21,3
2020-04-18,Kalimantan Timur,54,1
2020-04-18,Kalimantan Tengah,41,2
2020-04-18,Kalimantan Selatan,92,6
2020-04-18,Kalimantan Utara,50,1
2020-04-18,Kepulauan Riau,79,7
2020-04-18,Nusa Tenggara Barat,55,2
2020-04-18,Sumatera Selatan,84,2
2020-04-18,Sumatera Barat,71,7
2020-04-18,Sulawesi Utara,20,2
2020-04-18,Sumatera Utara,79,9
2020-04-18,Sulawesi Tenggara,28,2
2020-04-18,Sulawesi Selatan,343,25
2020-04-18,Sulawesi Tengah,24,3
2020-04-18,Lampung,26,5
2020-04-18,Riau,30,4
2020-04-18,Maluku Utara,4,0
2020-04-18,Maluku,17,0
2020-04-18,Papua Barat,5,1
2020-04-18,Papua,95,6
2020-04-18,Sulawesi Barat,7,1
2020-04-18,Nusa Tenggara Timur,1,0
2020-04-18,Gorontalo,4,0
2020-04-18,Lain,26,0
2020-04-19,Aceh,7,1
2020-04-19,Bali,135,3
2020-04-19,Banten,324,34
2020-04-19,Kepulauan Bangka Belitung,7,1
2020-04-19,Bengkulu,4,1
2020-04-19,Daerah Istimewa Yogyakarta,67,7
2020-04-19,DKI Jakarta,3032,287
2020-04-19,Jambi,8,0
2020-04-19,Jawa Barat,696,59
2020-04-19,Jawa Tengah,349,44
2020-04-19,Jawa Timur,590,54
2020-04-19,Kalimantan Barat,21,3
2020-04-19,Kalimantan Timur,59,1
2020-04-19,Kalimantan Tengah,46,2
2020-04-19,Kalimantan Selatan,96,6
2020-04-19,Kalimantan Utara,69,1
2020-04-19,Kepulauan Riau,79,7
2020-04-19,Nusa Tenggara Barat,61,3
2020-04-19,Sumatera Selatan,89,3
2020-04-19,Sumatera Barat,72,7
2020-04-19,Sulawesi Utara,20,2
2020-04-19,Sumatera Utara,81,9
2020-04-19,Sulawesi Tenggara,37,2
2020-04-19,Sulawesi Selatan,370,25
2020-04-19,Sulawesi Tengah,27,3
2020-04-19,Lampung,26,5
2020-04-19,Riau,30,4
2020-04-19,Maluku Utara,4,0
2020-04-19,Maluku,17,0
2020-04-19,Papua Barat,7,1
2020-04-19,Papua,107,6
2020-04-19,Sulawesi Barat,7,1
2020-04-19,Nusa Tenggara Timur,1,0
2020-04-19,Gorontalo,4,0
2020-04-19,Lain,26,0
2020-04-20,Aceh,7,1
2020-04-20,Bali,140,3
2020-04-20,Banten,341,35
2020-04-20,Kepulauan Bangka Belitung,7,1
2020-04-20,Bengkulu,4,1
2020-04-20,Daerah Istimewa Yogyakarta,69,7
2020-04-20,DKI Jakarta,3097,287
